Text,Label
"Art is a diverse range of human activity, and its resulting product, that involves creative or imaginative talent generally expressive of technical proficiency, beauty, emotional power, or conceptual ideas.There is no generally agreed definition of what constitutes art, and its interpretation has varied greatly throughout history and across cultures. In the Western tradition, the three classical branches of visual art are painting, sculpture, and architecture. Theatre, dance, and other performin",Non-Medical
"Language is a structured system of communication that consists of grammar and vocabulary. It is the primary means by which humans convey meaning, both in spoken and written forms, and may also be conveyed through sign languages. The vast majority of human languages have developed writing systems that allow for the recording and preservation of the sounds or signs of language. Human language is characterized by its cultural and historical diversity, with significant variations observed between cu",Non-Medical
"Literature is any collection of written work, but it is also used more narrowly for writings specifically considered to be an art form, especially prose, fiction, drama, poetry, and including both print and digital writing. In recent centuries, the definition has expanded to include oral literature, also known as orature much of which has been transcribed. Literature is a method of recording, preserving, and transmitting knowledge and entertainment, and can also have a social, psychological, spi",Non-Medical
"Philosophy (love of wisdom in ancient Greek) is a systematic study of general and fundamental questions concerning topics like existence, reason, knowledge, value, mind, and language. It is a rational and critical inquiry that reflects on its own methods and assumptions.
Historically, many of the individual sciences, such as physics and psychology, formed part of philosophy. However, they are considered separate academic disciplines in the modern sense of the term. Influential traditions in the ",Non-Medical
"An  empire is a political unit made up of several territories and peoples, ""usually created by conquest, and divided between a dominant center and subordinate peripheries"". The center of the empire (sometimes referred to as the metropole) exercises political control over the peripheries. Within an empire, different populations have different sets of rights and are governed differently. Narrowly defined, an empire is a sovereign state whose head of state is an emperor or empress; but not all stat",Non-Medical
"Space is a three-dimensional continuum containing positions and directions. In classical physics, physical space is often conceived in three linear dimensions. Modern physicists usually consider it, with time, to be part of a boundless four-dimensional continuum known as spacetime. The concept of space is considered to be of fundamental importance to an understanding of the physical universe. However, disagreement continues between philosophers over whether it is itself an entity, a relationship",Non-Medical
"Environment most often refers to:

Natural environment, all living and non-living things occur naturally
Biophysical environment, the physical and biological factors along with their chemical interactions that affect an organism or a group of organisms

",Non-Medical
"Color (American English) or colour (Commonwealth English) is the visual perception based on the electromagnetic spectrum. Though color is not an inherent property of matter, color perception is related to an object's light absorption, reflection, emission spectra and interference. For most humans, colors are perceived in the visible light spectrum with three types of cone cells (trichromacy). Other animals may have a different number of cone cell types or have eyes sensitive to different wavelen",Non-Medical
"A mountain is an elevated portion of the Earth's crust, generally with steep sides that show significant exposed bedrock. Although definitions vary, a mountain may differ from a plateau in having a limited summit area, and is usually higher than a hill, typically rising at least 300 metres (980 ft) above the surrounding land. A few mountains are isolated summits, but most occur in mountain ranges.Mountains are formed through tectonic forces, erosion, or volcanism, which act on time scales of up ",Non-Medical
"The rule of law is a political ideal that all citizens and institutions within a country, state, or community are accountable to the same laws,  including lawmakers and leaders. It is sometimes stated simply as ""no one is above the law"". The term rule of law is closely related to constitutionalism as well as Rechtsstaat. It refers to a political situation, not to any specific legal rule. The rule of law is defined in the Encyclopædia Britannica as ""the mechanism, process, institution, practice, ",Non-Medical
"Justice, in its broadest sense, is the concept that individuals are to be treated in a manner that is equitable and fair.A society in which justice has been achieved would be one in which individuals receive what they ""deserve"". The interpretation of what ""deserve"" means draws on a variety of fields and philosophies, like ethics, rationality, law, religion, equity and fairness. The state may be said to pursue justice by operating courts and enforcing their rulings.",Non-Medical
"A forest is an area of land dominated by trees. Hundreds of definitions of forest are used throughout the world, incorporating factors such as tree density, tree height, land use, legal standing, and ecological function. The United Nations' Food and Agriculture Organization (FAO) defines a forest as, ""Land spanning more than 0.5 hectares with trees higher than 5 meters and a canopy cover of more than 10 percent, or trees able to reach these thresholds in situ. It does not include land that is pr",Non-Medical
"Cooking, also known as cookery or professionally as the culinary arts, is the art, science and craft of using heat to make food more palatable, digestible, nutritious, or safe. Cooking techniques and ingredients vary widely, from grilling food over an open fire to using electric stoves, to baking in various types of ovens, reflecting local conditions.
Types of cooking also depend on the skill levels and training of the cooks. Cooking is done both by people in their own dwellings and by professio",Non-Medical
"Theology is the systematic study of the nature of the divine, or more broadly of religious belief. It is taught as an academic discipline, typically in universities and seminaries. It occupies itself with the unique content of analyzing the supernatural, but also deals with religious epistemology, asks and seeks to answer the question of revelation. Revelation pertains to the acceptance of God, gods, or deities, as not only transcendent or above the natural world, but also willing and able to in",Non-Medical
"Fashion is a term used interchangeably to describe the creation of clothing, footwear, accessories, cosmetics, and jewellery of different cultural aesthetics and their mix and match into outfits that depict distinctive ways of dressing (styles and trends) as signifiers of social status, self-expression, and group belonging. As a multifaceted term, fashion describes an industry, styles, aesthetics, and trends.
The term 'fashion' originates from the Latin word 'Facere,' which means 'to make,' and ",Non-Medical
"Animals are multicellular, eukaryotic organisms in the biological kingdom Animalia. With few exceptions, animals consume organic material, breathe oxygen, have myocytes and are able to move, can reproduce sexually, and grow from a hollow sphere of cells, the blastula, during embryonic development. As of 2022, 2.16 million living animal species have been described—of which around 1.05 million are insects, over 85,000 are molluscs, and around 65,000 are vertebrates. It has been estimated there are",Non-Medical
"Love encompasses a range of strong and positive emotional and mental states, from the most sublime virtue or good habit, the deepest interpersonal affection, to the simplest pleasure. An example of this range of meanings is that the love of a mother differs from the love of a spouse, which differs from the love for food. Most commonly, love refers to a feeling of strong attraction and emotional attachment.Love is considered to be both positive and negative, with its virtue representing human kin",Non-Medical
"In botany, a tree is a perennial plant with an elongated stem, or trunk, usually supporting branches and leaves. In some usages, the definition of a tree may be narrower, including only woody plants with secondary growth, plants that are usable as lumber or plants above a specified height. In wider definitions, the taller palms, tree ferns, bananas, and bamboos are also trees. 
Trees are not a monophyletic taxonomic group but consist of a wide variety of plant species that have independently evo",Non-Medical
"History (derived from Ancient Greek  ἱστορία (historía) 'inquiry; knowledge acquired by investigation') is the systematic study and documentation of the human past.The period of events before the invention of writing systems is considered prehistory. ""History"" is an umbrella term comprising past events as well as the memory, discovery, collection, organization, presentation, and interpretation of these events. Historians seek knowledge of the past using historical sources such as written documen",Non-Medical
"Geography (from Greek: γεωγραφία, geographia. Combination of Greek words 'Geo' (The Earth) and 'Graphien' (to describe), literally ""earth description"") is a field of science devoted to the study of the lands, features, inhabitants, and phenomena of Earth. Geography is an all-encompassing discipline that seeks an understanding of Earth and its human and natural complexities—not merely where objects are, but also how they have changed and come to be. While geography is specific to Earth, many conc",Non-Medical
"Archaeology or archeology is the study of human activity through the recovery and analysis of material culture. The archaeological record consists of artifacts, architecture, biofacts or ecofacts, sites, and cultural landscapes. Archaeology can be considered both a social science and a branch of the humanities. It is usually considered an independent academic discipline, but may also be classified as part of anthropology (in North America – the four-field approach), history or geography.Archaeol",Non-Medical
"A government is the system or group of people governing an organized community, generally a state.
In the case of its broad associative definition, government normally consists of legislature, executive, and judiciary. Government is a means by which organizational policies are enforced, as well as a mechanism for determining policy. In many countries, the government has a kind of constitution, a statement of its governing principles and philosophy.
While all types of organizations have governanc",Non-Medical
"Astronomy is a natural science that studies celestial objects and phenomena. It uses mathematics, physics, and chemistry in order to explain their origin and evolution. Objects of interest include planets, moons, stars, nebulae, galaxies, meteoroids, asteroids, and comets. Relevant phenomena include supernova explosions, gamma ray bursts, quasars, blazars, pulsars, and cosmic microwave background radiation. More generally, astronomy studies everything that originates beyond Earth's atmosphere. C",Non-Medical
